emlak_tipi,m2_brut,m2_net,oda_sayisi,bina_yaşi,bulundugu_kat,isitma,banyo_sayisi,balkon,esyali,site_icerisi,krediye_uygun,kimden,konum,fiyat
0,270.0,220.0,10,10,15,0,2,0,2,2,1,1,0,582500.0
0,80.0,75.0,4,8,10,8,0,0,2,2,1,1,0,113000.0
0,70.0,65.0,4,8,0,5,0,0,1,2,1,1,0,230000.0
0,130.0,110.0,4,0,10,0,0,0,2,2,1,1,0,325000.0
0,270.0,260.0,16,9,13,0,3,0,2,2,1,1,0,550000.0
0,110.0,100.0,4,0,10,0,0,0,2,2,1,1,0,295000.0
0,215.0,195.0,14,0,31,0,1,0,2,2,1,1,0,850000.0
0,125.0,120.0,7,0,0,0,1,0,2,2,1,1,0,345000.0
0,85.0,80.0,4,7,0,0,0,0,2,1,1,1,0,385000.0
0,80.0,75.0,4,6,10,8,0,0,0,2,1,1,0,165000.0
0,100.0,95.0,4,0,0,0,0,0,2,2,1,1,0,400000.0
0,80.0,70.0,4,8,17,10,0,0,2,1,2,2,0,570000.0
0,110.0,105.0,7,6,14,0,0,0,2,2,1,1,0,265000.0
0,120.0,110.0,7,6,14,0,0,0,2,2,1,2,0,187000.0
0,139.0,109.0,7,0,0,7,1,0,2,1,1,1,0,395000.0
0,69.0,66.0,4,3,15,4,0,0,2,2,1,2,0,150000.0
0,130.0,125.0,7,10,0,0,0,0,2,2,1,1,0,339000.0
0,130.0,120.0,7,0,10,0,0,0,2,2,1,1,0,410000.0
0,100.0,90.0,4,8,16,0,0,0,2,2,1,1,0,350000.0
0,115.0,110.0,7,0,0,0,0,0,2,2,1,1,0,299000.0
0,95.0,80.0,4,2,0,8,0,0,2,2,1,1,0,250000.0
0,100.0,100.0,4,5,30,10,0,1,2,2,2,1,0,150000.0
0,150.0,150.0,7,9,10,0,1,0,2,2,1,1,0,415000.0
0,80.0,75.0,4,5,10,0,0,0,2,2,1,1,0,330000.0
0,95.0,80.0,4,6,14,0,0,0,2,2,1,1,0,146000.0
0,160.0,130.0,7,5,14,0,1,0,2,2,0,2,0,245000.0
0,95.0,85.0,4,4,10,0,0,0,2,2,1,1,0,365000.0
2,75.0,75.0,4,8,14,5,0,0,2,1,0,2,0,330000.0
0,90.0,90.0,4,6,14,8,0,0,2,2,1,1,0,110000.0
0,95.0,90.0,4,8,13,1,0,0,2,2,1,1,0,135000.0
0,85.0,70.0,4,8,15,8,0,0,2,2,1,1,0,215000.0
0,95.0,90.0,4,10,0,0,0,0,2,2,1,1,0,264000.0
0,85.0,80.0,4,8,14,0,0,0,1,2,1,1,0,187000.0
0,135.0,120.0,7,6,15,0,1,0,2,2,1,1,0,255000.0
0,90.0,90.0,4,5,10,0,0,0,2,2,1,1,0,143000.0
0,130.0,120.0,7,0,0,0,0,0,2,2,1,1,0,350000.0
0,145.0,135.0,7,6,26,0,0,0,2,2,1,1,0,109000.0
0,85.0,80.0,4,5,15,0,0,0,1,2,1,1,0,145000.0
0,140.0,120.0,7,0,22,0,0,0,2,2,1,2,0,355000.0
0,260.0,247.0,14,9,13,0,3,0,2,2,1,1,0,530000.0
0,55.0,50.0,0,1,0,1,0,0,2,1,1,1,0,245000.0
0,170.0,160.0,10,10,10,0,1,0,2,2,1,1,0,630000.0
0,110.0,100.0,4,0,13,0,0,0,2,2,1,1,0,300000.0
0,85.0,80.0,4,5,14,0,0,0,1,2,1,1,0,210000.0
0,280.0,250.0,10,0,10,0,1,0,2,2,1,1,0,810000.0
0,115.0,105.0,7,5,15,0,0,0,2,2,2,1,0,210000.0
0,100.0,98.0,4,6,14,0,0,0,2,2,1,1,0,158000.0
0,98.0,95.0,4,6,13,0,0,0,1,2,1,1,0,252000.0
0,255.0,250.0,16,4,15,0,2,0,2,1,1,1,0,830000.0
0,125.0,110.0,4,5,15,0,0,0,0,2,1,1,0,169000.0
0,130.0,115.0,7,0,10,0,0,0,2,2,1,1,0,415000.0
0,200.0,180.0,10,6,13,0,1,0,2,2,1,1,0,750000.0
0,240.0,220.0,10,10,15,0,2,0,2,1,1,1,0,900000.0
0,160.0,128.0,7,0,0,9,1,0,1,1,1,1,0,970000.0
0,110.0,100.0,4,3,26,0,0,1,1,2,0,2,0,370000.0
0,90.0,90.0,4,6,10,0,0,0,2,2,1,1,0,168000.0
0,145.0,140.0,7,6,13,6,0,0,2,2,1,1,0,295000.0
0,130.0,125.0,7,6,15,0,0,0,2,2,1,1,0,490000.0
0,220.0,200.0,10,7,16,0,1,0,2,2,1,1,0,440000.0
0,240.0,220.0,10,10,16,0,2,0,2,2,1,1,0,900000.0
0,90.0,85.0,4,6,15,0,0,0,2,2,1,1,0,157000.0
0,40.0,35.0,0,6,30,5,0,0,2,1,0,2,0,220000.0
0,56.0,50.0,0,0,13,0,0,0,1,1,1,1,0,475000.0
0,108.0,100.0,4,10,10,0,0,0,2,2,1,1,0,325000.0
0,150.0,140.0,7,6,13,0,1,0,2,2,1,1,0,800000.0
0,130.0,120.0,7,3,15,0,0,0,2,2,1,1,0,202000.0
2,272.0,65.0,13,10,28,8,0,1,2,2,2,2,0,430000.0
0,85.0,75.0,4,6,22,0,0,0,1,2,1,2,0,300000.0
